term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,wave,model
BMIV_CAT_W4High variability,1.6210748402260675,0.13741448348546423,0.1379217761734958,3.5026333350797874,4.6068314703790305e-4,1.237097236307095,2.124233698442787,W4,Categorical_Unadjusted
BMIV_CAT_W5Medium variability,1.1129573399919213,0.13451595484685985,0.13445651265031325,0.7959506058954774,0.42606074557328016,0.8551236679985784,1.4485320509734179,W5,Categorical_Unadjusted
BMIV_CAT_W5High variability,1.6559369455891761,0.1490456762825682,0.14913267880478276,3.3820017379512937,7.195968935533052e-4,1.2362372612177153,2.218123699868233,W5,Categorical_Unadjusted
BMIV_CAT_W6Medium variability,1.3519534366047206,0.1489467695719776,0.14869216235323424,2.0280190419868878,0.04255830459539711,1.0101706264365937,1.8093756113210837,W6,Categorical_Unadjusted
BMIV_CAT_W6High variability,1.3122533320625083,0.18209127620625676,0.18161806414303128,1.4962485236655025,0.1345889039379279,0.9192298268053378,1.8733169413070183,W6,Categorical_Unadjusted
BMIV_CAT_W7Medium variability,1.0547600810707853,0.17644557542415887,0.17624145746535244,0.30250163908980426,0.762269684137276,0.7466837232257976,1.4899465382935948,W7,Categorical_Unadjusted
BMIV_CAT_W7High variability,1.4827153276457201,0.18879612567138515,0.188649405531588,2.0878681623017137,0.03680972882433315,1.02442250811464,2.146033228888733,W7,Categorical_Unadjusted
BMIV_CAT_W8Medium variability,1.461595127739375,0.22150275904683442,0.22128939326943028,1.7150771980397714,0.08633107424879476,0.9472513078491603,2.255220235358763,W8,Categorical_Unadjusted
BMIV_CAT_W8High variability,1.455510659971291,0.24956890599107148,0.24915994203473446,1.5064893860359445,0.13194158980799103,0.8931616417589266,2.3719237170978635,W8,Categorical_Unadjusted
BMIV_CAT_W9Medium variability,1.1168393843388258,0.29884785092171684,0.30015803246907574,0.36814846113411237,0.712762537656003,0.6201485607336987,2.011340974386217,W9,Categorical_Unadjusted
BMIV_CAT_W9High variability,1.3376046101954728,0.32127519695693263,0.3224361738504841,0.9021333012550652,0.36698606071350465,0.7109999794370565,2.5164362095098713,W9,Categorical_Unadjusted
BMIV_CAT_W3Medium variability,1.1340998784457692,0.1171146696785782,0.1154252016470106,1.0902235894960894,0.2756146645498539,0.9044846359934551,1.4220059502481315,W3,Categorical_Adjusted
BMIV_CAT_W3High variability,1.3631324817204797,0.14120084507218375,0.14146435648944408,2.1898473530685676,0.02853530919795425,1.0330548668338067,1.7986751937158842,W3,Categorical_Adjusted
